id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
834586	000000000000000000006786c354cd9ab06df8069c0627541eaa13c3ad4c9a75	2024-03-14 00:05:35	2024-03-13 23:26:20	1889166	701413	3993405	536993792	2001e000	100000000000011110000000000000	0c20c9fe80a56deae2d79f9d0b2a3e3d3a39c0f81ada0073656d4a284aa9d8dc	669729004	386108434	79351228131137	00000000000000000000000000000000000000006ee7f6c63e5f413ec4b12a3c	031abc0c082f5669614254432f2cfabe6d6d32eb2f7cf53d6bf5a4de57b0318b84525eed051451f3645aa3fcc1db60a9aacb100000000000000010809a79054213b7050973f00662b3280000000000	2197	2035	8068	7011	449159899638	328111296	449784899638	328567872	20579944	15033.6494	10895.869	7.9595	5155.316	3.7657	47321.162746325	625000000	456562.5	645579944	471596.1562	ViaBTC
834587	000000000000000000024299ae4011217a6d375c6a288444e2ae9ba6163f06ab	2024-03-14 00:06:33	2024-03-13 23:36:16	1835054	719211	3992687	728096768	2b65e000	101011011001011110000000000000	1d71b4e3fe23b26a721ceccbe3dd70deff928be0d7a7f429746c799b2b46cda7	2290915438	386108434	79351228131137	00000000000000000000000000000000000000006ee83ef1ec4ed66f1fa53650	031bbc0c04893ff2652f466f756e6472792055534120506f6f6c202364726f70676f6c642f170048ad1c00000000000000	1437	1247	7285	2915	57666267765	42125208	58291267765	42581772	11479240	8385.585	6256.545	4.5707	2875.8442	2.1009	15074.349034054	625000000	456562.5	636479240	464948.0938	Foundry USA Pool
834588	0000000000000000000311431a888f415f83a53b919a1ca21169cd6b0de75b7a	2024-03-14 00:20:54	2024-03-13 23:46:04	1503604	829685	3992659	536887296	20004000	100000000000000100000000000000	a73aae72477160e5312c5a5ad32ba595f51d38fb2b906acdefc8aad9586ba39f	57789576	386108434	79351228131137	00000000000000000000000000000000000000006ee8871d9a3e6b9f7a994264	031cbc0c0120130909092009092009100ffebecdd8f708000000	2495	2309	7362	8657	2144884575291	1566838144	2145509575291	1567294720	20631912	15071.6113	13724.149	10.0254	5168.7456	3.776	45238.790151631	625000000	456562.5	645631912	471634.125	Unknown
834589	00000000000000000000d0c650d27302cc94e23dc9a324699e897a49515f876a	2024-03-14 00:37:08	2024-03-13 23:52:01	1602265	796934	3993067	603840512	23fde000	100011111111011110000000000000	d1a93c23d99423d10f53e2d718b60cb874a3b460c1d1e0e7e10fbc6ad18ade24	732168635	386108434	79351228131137	00000000000000000000000000000000000000006ee8cf49482e00cfd58d4e78	031dbc0c04b446f2652f466f756e6472792055534120506f6f6c202364726f70676f6c642f1d015b3e4c5c010000000000	2671	2467	7224	10070	1016773678995	742753152	1017398678995	743209728	20950294	15304.1895	13077.848	9.5535	5248.087	3.8337	66147.112685882	625000000	456562.5	645950294	471866.6875	Foundry USA Pool
834590	000000000000000000011372295bc5bfcac35ea41c8d350572177bdeed21c24c	2024-03-14 00:40:45	2024-03-13 23:54:56	1840527	717627	3993408	846938112	327b4000	110010011110110100000000000000	e837efbf2122c57e6c14609783009be413437c4f87f7c4679cc63a1f60171c03	1672911279	386108434	79351228131137	00000000000000000000000000000000000000006ee91774f61d960030815a8c	031ebc0c082f5669614254432f2cfabe6d6d1f82deeaa91fda4cd7bcdc96c75564e40b9d77a29e43e62509cb610a1236f935100000000000000010e99a79054213b7050981ebf37f46000000000000	1425	1332	6899	3939	165954043066	121229432	166579043066	121685992	13986192	10216.9131	7600.5923	5.5525	3503.5657	2.5597	22886.886647902	625000000	456562.5	638986192	466779.4062	ViaBTC
834591	00000000000000000001da47318686306d2b5836d5e351e5795815a254bd6feb	2024-03-14 00:53:59	2024-03-14 00:05:35	1717735	758669	3993742	538968064	20200000	100000001000000000000000000000	76c8bfddf394de56bb09c69d9ba6515951641733b22aacef435797c09782f420	623730279	386108434	79351228131137	00000000000000000000000000000000000000006ee95fa0a40d2b308b7566a0	031fbc0c1b4d696e656420627920416e74506f6f6c383035d2014304d52961f0fabe6d6dfbda40546b3dc76dca356f5e372060ad85058afe247973b0088be630f4920a9910000000000000000000d23d0000d28f7f8772e2	2192	2022	7381	7586	422651196639	308746688	423276196639	309203264	18655059	13627.5205	10863.282	7.9354	4673.1787	3.4136	53808.242142586	625000000	456562.5	643655059	470190.0312	AntPool
834592	000000000000000000001f1a463c88ee6319b323fb62453f96c4511492fb6f66	2024-03-14 01:03:36	2024-03-14 00:06:33	1694179	766536	3993787	561954816	217ec000	100001011111101100000000000000	c4d7960e306e1787cfc8635f26cdf06ce128abcda71e8b9bf9fbece7f9893fb0	3454435019	386108434	79351228131137	00000000000000000000000000000000000000006ee9a7cc51fcc060e66972b4	0320bc0c1b4d696e656420627920416e74506f6f6c393631e8015b00d89a4628fabe6d6d3df9ef6d70d5c62237196ff42b3ad10291ed259b0c7982d6edf33c24edcb7f03100000000000000000002543acd0000000000000	2451	2331	8274	7513	523376030879	382326176	524001030879	382782752	17239107	12593.168	10178.359	7.435	4318.4277	3.1543	27817.359589329	625000000	456562.5	642239107	469155.6562	AntPool
834593	00000000000000000002f776c5dd01b38e93c235a3c9794eaf7b21ac6001a4f4	2024-03-14 01:04:37	2024-03-14 00:20:54	1484004	836483	3993453	537862144	200f2000	100000000011110010000000000000	071300aaa32f8a15e02fa8727e1e0c0a557d52eb057ed2c08b3847a7f35eec54	3750751397	386108434	79351228131137	00000000000000000000000000000000000000006ee9eff7ffec5591415d7ec8	0321bc0c194d696e656420627920416e74506f6f6c2076000802d8f76f66fabe6d6d9620da6a7a1b9cc24bbff46e637f77270689de7d5030d178dba8a594cb32b742100000000000000000009b322e4b000000000000	789	702	6106	3756	59206328779	43250224	59831328779	43706784	11046181	8069.2354	7445.8813	5.4393	2767.3145	2.0213	38953.878619047	625000000	456562.5	636046181	464631.75	AntPool
834594	00000000000000000001b92e31b172802536d2666799edeb5218b6b98f96479e	2024-03-14 01:13:39	2024-03-14 00:37:08	1822671	723463	3993060	848961536	329a2000	110010100110100010000000000000	8ab96e50f4ebc56b8b8d88b2be0e5345bf3b40ff83dcf12acf0678c9b3574697	228831385	386108434	79351228131137	00000000000000000000000000000000000000006eea3823addbeac19c518adc	0322bc0c04434ff2652f466f756e6472792055534120506f6f6c202364726f70676f6c642f3e0039c62f01000000000000	2048	1856	9857	5912	753394403106	550354624	754019403106	550811200	16292395	11901.5947	8940.204	6.5307	4081.2817	2.9812	30711.707335387	625000000	456562.5	641292395	468464.0938	Foundry USA Pool
834595	000000000000000000004a124bb43cfb8fa28660d7a21c0af2127308e5a1bdc2	2024-03-14 01:17:56	2024-03-14 00:40:45	1783156	738167	3997657	794198016	2f568000	101111010101101000000000000000	6154f7d12292cecfaa062e909ac681e8ff8e77ce09dba80629690ccf71bef69b	3938443327	386108434	79351228131137	00000000000000000000000000000000000000006eea804f5bcb7ff1f74596f0	0323bc0c2cfabe6d6d35cf4490a40e8ac9dbf217d6edb6ca0bdfe6d9a1db4b08f015156c99faf0a4bc10000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050045680264	1137	1080	9539	3007	348629671147	254673968	349254671147	255130544	13722033	10023.9453	7697.4956	5.6227	3434.1235	2.5085	89145.217764439	625000000	456562.5	638722033	466586.4375	F2Pool
